filename,time,fake,logit
/content/drive/MyDrive/datasets/ffhq-real/images1024x1024/69000/69062.png,7.172292,0,-17.877699
/content/drive/MyDrive/datasets/ffhq-real/images1024x1024/69000/69132.png,1.299756,0,-11.169955
/content/drive/MyDrive/datasets/my_generated/stylegan3/stylegan3-t-ffhqu-1024x1024/seed4163.png,1.778614,1,-1.061270
/content/drive/MyDrive/datasets/my_generated/stylegan3/stylegan3-t-ffhqu-1024x1024/seed2468.png,1.302204,1,-2.431472
/content/drive/MyDrive/datasets/ffhq-real/images1024x1024/66000/66246.png,1.196299,0,-13.428459
/content/drive/MyDrive/datasets/my_generated/stylegan3/stylegan3-t-ffhqu-1024x1024/seed3578.png,1.224922,1,-1.557111
/content/drive/MyDrive/datasets/ffhq-real/images1024x1024/69000/69743.png,1.083388,0,-21.182941
/content/drive/MyDrive/datasets/my_generated/stylegan3/stylegan3-t-ffhqu-1024x1024/seed2969.png,1.269834,1,-3.162594
/content/drive/MyDrive/datasets/my_generated/stylegan3/stylegan3-t-ffhqu-1024x1024/seed2668.png,1.292546,1,-0.788133
/content/drive/MyDrive/datasets/ffhq-real/images1024x1024/69000/69367.png,1.113818,0,-10.383622
/content/drive/MyDrive/datasets/ffhq-real/images1024x1024/66000/66433.png,1.136043,0,-10.844050
/content/drive/MyDrive/datasets/my_generated/stylegan3/stylegan3-t-ffhqu-1024x1024/seed0824.png,1.348389,1,-1.951673
/content/drive/MyDrive/datasets/my_generated/stylegan3/stylegan3-t-ffhqu-1024x1024/seed4489.png,1.272898,1,-0.923153
/content/drive/MyDrive/datasets/my_generated/stylegan3/stylegan3-t-ffhqu-1024x1024/seed2927.png,1.265565,1,-3.399798
/content/drive/MyDrive/datasets/my_generated/stylegan3/stylegan3-t-ffhqu-1024x1024/seed4770.png,1.295891,1,1.203226
/content/drive/MyDrive/datasets/ffhq-real/images1024x1024/69000/69236.png,1.124757,0,-17.516199
/content/drive/MyDrive/datasets/ffhq-real/images1024x1024/69000/69337.png,1.275259,0,-12.235644
/content/drive/MyDrive/datasets/ffhq-real/images1024x1024/67000/67548.png,1.194065,0,-12.523581
/content/drive/MyDrive/datasets/ffhq-real/images1024x1024/65000/65986.png,1.283034,0,-7.892871
/content/drive/MyDrive/datasets/ffhq-real/images1024x1024/66000/66322.png,1.220833,0,-13.294341
/content/drive/MyDrive/datasets/ffhq-real/images1024x1024/66000/66927.png,1.252825,0,-19.454424
