name,auc,accuracy,precision,recallstylegan2-config-f-psi-0.5,1.0,1.0,1.0,1.0
stylegan2-config-f-psi-1.0,1.0,1.0,1.0,1.0
stylegan3-r-ffhqu-1024x1024,0.99831276,0.5004,1.0,0.0008
stylegan3-t-ffhqu-1024x1024,0.9999528799999999,0.611,1.0,0.222
stylegan3-r-afhqv2-512x512,0.9956733469665984,0.4461110252048863,1.0,0.2836
stylegan3-t-afhqv2-512x512,0.9997738241308793,0.8427400649451059,1.0,0.7966
stylegan3-t-metfacesu-1024x1024,0.9958303571428572,0.8167808219178082,1.0,0.786
stylegan3-r-metfacesu-1024x1024,0.9560014880952381,0.2688356164383562,1.0,0.146
gated_convolution_inpainting,0.56784725,0.52125,1.0,0.0425
inpainting,0.416831,0.5,0.0,0.0
text2img,0.684971,0.515,1.0,0.03
ffhq_k300_p1.0_fid9.6,0.9997090000000001,0.685,1.0,0.37
celebahq_k400_p1.0_fid10.2,0.9691025603663613,0.6730926152590779,1.0,0.359
stylegan2,1.0,1.0,1.0,1.0
stylegan3,0.9968246055661718,0.5846141573153221,1.0,0.349125
